Bi2201Gd041029nonannealed 	Bi2201Eu050201annealed 	Temperature 
2.785349 	0.118998 	149.139781 
2.785078 	0.116315 	149.643023 
2.785853 	0.116255 	150.144539 
2.785887 	0.117077 	150.644916 
2.786653 	0.115659 	151.160265 
2.786810 	0.115192 	151.674253 
2.787314 	0.116595 	152.191985 
2.786688 	0.116457 	152.697824 
2.786710 	0.117231 	153.207595 
2.786476 	0.116721 	153.714823 
2.787880 	0.116117 	154.221176 
2.787947 	0.115858 	154.725505 
2.787387 	0.114961 	155.228540 
2.787700 	0.114903 	155.729860 
2.787310 	0.115928 	156.230002 
2.787005 	0.115345 	156.744574 
2.787303 	0.114250 	157.258054 
2.787396 	0.115686 	157.769458 
2.787469 	0.114825 	158.279025 
2.787694 	0.115699 	158.787290 
2.803439 	0.115822 	159.293336 
2.803778 	0.116076 	159.798574 
2.803935 	0.116963 	160.301852 
2.804708 	0.115535 	160.802862 
2.805636 	0.114231 	161.303083 
2.805998 	0.114561 	161.817148 
2.805943 	0.113458 	162.329155 
2.806740 	0.112935 	162.840729 
2.807026 	0.112044 	163.349589 
2.807823 	0.111841 	163.856784 
2.809168 	0.109777 	164.362382 
2.810786 	0.109829 	164.866311 
2.811445 	0.110068 	165.367635 
2.812421 	0.110272 	165.868582 
2.811903 	0.110628 	166.383037 
2.813209 	0.112996 	166.895313 
2.813269 	0.114916 	167.406155 
2.815290 	0.115546 	167.915066 
2.815568 	0.116522 	168.421663 
2.816137 	0.115590 	168.927201 
2.817333 	0.116377 	169.430840 
2.818070 	0.119548 	169.931786 
2.818324 	0.120398 	170.446525 
2.819446 	0.121125 	170.959625 
2.819861 	0.122673 	171.470322 
2.820328 	0.121375 	171.979708 
2.820976 	0.122309 	172.486898 
2.821673 	0.122111 	172.992421 
2.824442 	0.123464 	173.495991 
2.825150 	0.122288 	173.997537 
2.826684 	0.122386 	174.512125 
2.828457 	0.120273 	175.024171 
2.828943 	0.121933 	175.535021 
2.830482 	0.121368 	176.043517 
2.831263 	0.120364 	176.550270 
2.835235 	0.120519 	177.055254 
2.836800 	0.120874 	177.557564 
2.837585 	0.122857 	178.058581 
2.838850 	0.121411 	178.571667 
2.839211 	0.122048 	179.082825 
2.840181 	0.121430 	179.591519 
2.841119 	0.121854 	180.098908 
2.841071 	0.122156 	180.603773 
2.841399 	0.121692 	181.107017 
2.842666 	0.122121 	181.607749 
2.843350 	0.121408 	182.120515 
2.844783 	0.122184 	182.631419 
2.845651 	0.123536 	183.139902 
2.845318 	0.122956 	183.646109 
2.846311 	0.122346 	184.150780 
2.847045 	0.121233 	184.653068 
2.848077 	0.120736 	185.153419 
2.848770 	0.121519 	185.665102 
2.849520 	0.121270 	186.174312 
2.849936 	0.121227 	186.681146 
2.850354 	0.122152 	187.186803 
2.850711 	0.120953 	187.689652 
2.851033 	0.119753 	188.190564 
2.851637 	0.121347 	188.702537 
2.852713 	0.120528 	189.212236 
2.853271 	0.122573 	189.722312 
2.854456 	0.124887 	190.224796 
2.855544 	0.124523 	190.727470 
2.855929 	0.123801 	191.228187 
2.856641 	0.125323 	191.740001 
2.857594 	0.126971 	192.248608 
2.857842 	0.129070 	192.755363 
2.858478 	0.127138 	193.259708 
2.859188 	0.128803 	193.761776 
2.859969 	0.127297 	194.273789 
2.861669 	0.129878 	194.784054 
2.862808 	0.130727 	195.291483 
2.863985 	0.129487 	195.796344 
2.864243 	0.131880 	196.299232 
2.865673 	0.132760 	196.799419 
2.867509 	0.133310 	197.310093 
2.869060 	0.133420 	197.817989 
2.870704 	0.134385 	198.323340 
2.872456 	0.134824 	198.826257 
2.873774 	0.136582 	199.326839 
2.875150 	0.136299 	199.836711 
2.876774 	0.139254 	200.343788 
2.877526 	0.137133 	200.848738 
2.878755 	0.137314 	201.351026 
2.880119 	0.135923 	201.862502 
2.880892 	0.136474 	202.371593 
2.882593 	0.137567 	202.877860 
2.884630 	0.138203 	203.381374 
2.886056 	0.137915 	203.882848 
2.886657 	0.137934 	204.393191 
2.888624 	0.137414 	204.900245 
2.890664 	0.135700 	205.404967 
2.892061 	0.134701 	205.907041 
2.893271 	0.136338 	206.417660 
2.894328 	0.134373 	206.925298 
2.895570 	0.132489 	207.430414 
2.896652 	0.132637 	207.932637 
2.896697 	0.130161 	208.442973 
2.898191 	0.130602 	208.950951 
2.899008 	0.130982 	209.456026 
2.899400 	0.131628 	209.957892 
2.901115 	0.132589 	210.468204 
2.902721 	0.130315 	210.974859 
2.903449 	0.130352 	211.479276 
2.904583 	0.129632 	211.980546 
2.906462 	0.127926 	212.489044 
2.908625 	0.128199 	212.995715 
2.909118 	0.127765 	213.498270 
2.911064 	0.128080 	213.998671 
2.911803 	0.127111 	214.505868 
2.913023 	0.126698 	215.010192 
2.915367 	0.124275 	215.511470 
2.915833 	0.124879 	216.019718 
2.916924 	0.124796 	216.525087 
2.919290 	0.123857 	217.027147 
2.920669 	0.123262 	217.536309 
2.922297 	0.123634 	218.041859 
2.923389 	0.123880 	218.544174 
2.925048 	0.122456 	219.053332 
2.926424 	0.121850 	219.558858 
2.926800 	0.121722 	220.061755 
2.928321 	0.121334 	220.570131 
2.929987 	0.122063 	221.075849 
2.931850 	0.123226 	221.578321 
2.932163 	0.121564 	222.086369 
2.934125 	0.119827 	222.591173 
2.936210 	0.118878 	223.092332 
2.938484 	0.118371 	223.599799 
2.940876 	0.118383 	224.103685 
2.943128 	0.118993 	224.603963 
2.944304 	0.117368 	225.109728 
2.946038 	0.117573 	225.611697 
2.948446 	0.118168 	226.119729 
2.949467 	0.118289 	226.623470 
2.950319 	0.114131 	227.124328 
2.952514 	0.114557 	227.629478 
2.952840 	0.114391 	228.131388 
2.954517 	0.116111 	228.638137 
2.957029 	0.115315 	229.140743 
2.958467 	0.114455 	229.648881 
2.959709 	0.115558 	230.152647 
2.961263 	0.115009 	230.660711 
2.962677 	0.114085 	231.165191 
2.965131 	0.113188 	231.665710 
2.964237 	0.113181 	232.170592 
2.966259 	0.112935 	232.671242 
2.968050 	0.113192 	233.176117 
2.970618 	0.112200 	233.677007 
2.973543 	0.112670 	234.181832 
2.979772 	0.113264 	234.682488 
2.981530 	0.114243 	235.186712 
2.982994 	0.115139 	235.687152 
2.984756 	0.113725 	236.191041 
2.987154 	0.115682 	236.697161 
2.989043 	0.115250 	237.200263 
