ch1+ 	 ch1- 	ch2+ 	 ch2- 	ch5+ 	 Temperature 
+3.22386357E-04 	 -3.18435717E-04 	+9.82531449E-06 	 -6.21912161E-06 	+1.09097735E+00 	 38.055444 
+3.22060106E-04 	 -3.18152507E-04 	+9.79645039E-06 	 -6.23379989E-06 	+1.09061888E+00 	 38.258433 
+3.21822610E-04 	 -3.17888364E-04 	+9.75542444E-06 	 -6.19448330E-06 	+1.09026348E+00 	 38.460095 
+3.21640859E-04 	 -3.17621644E-04 	+9.75934773E-06 	 -6.21338849E-06 	+1.08991156E+00 	 38.660163 
+3.21276657E-04 	 -3.17312145E-04 	+9.81797157E-06 	 -6.29332959E-06 	+1.08949121E+00 	 38.899602 
+3.20950408E-04 	 -3.17063212E-04 	+9.89438805E-06 	 -6.33465456E-06 	+1.08907398E+00 	 39.137735 
+3.20663873E-04 	 -3.16747224E-04 	+9.88152872E-06 	 -6.30369031E-06 	+1.08865982E+00 	 39.374548 
+3.20396718E-04 	 -3.16450106E-04 	+9.88605109E-06 	 -6.36100501E-06 	+1.08824918E+00 	 39.609742 
+3.20046837E-04 	 -3.16200781E-04 	+9.83516864E-06 	 -6.42425298E-06 	+1.08784184E+00 	 39.843404 
+3.19787881E-04 	 -3.15921311E-04 	+9.78991974E-06 	 -6.38594214E-06 	+1.08743695E+00 	 40.075987 
+3.19510371E-04 	 -3.15613738E-04 	+9.82370521E-06 	 -6.35084799E-06 	+1.08703477E+00 	 40.307309 
+3.19256967E-04 	 -3.15423583E-04 	+9.78831290E-06 	 -6.33405709E-06 	+1.08663518E+00 	 40.537407 
+3.19029477E-04 	 -3.15161743E-04 	+9.82601791E-06 	 -6.31253662E-06 	+1.08623820E+00 	 40.766242 
+3.18783456E-04 	 -3.14868426E-04 	+9.87900711E-06 	 -6.23229219E-06 	+1.08584309E+00 	 40.994214 
+3.18496740E-04 	 -3.14588242E-04 	+9.85619308E-06 	 -6.21570729E-06 	+1.08545097E+00 	 41.220651 
+3.18271207E-04 	 -3.14271611E-04 	+9.94004653E-06 	 -6.25723115E-06 	+1.08506015E+00 	 41.446506 
+3.18029488E-04 	 -3.14055429E-04 	+9.90324724E-06 	 -6.21580475E-06 	+1.08467197E+00 	 41.670982 
+3.17766575E-04 	 -3.13765371E-04 	+9.92938947E-06 	 -6.19720099E-06 	+1.08428553E+00 	 41.894580 
+3.17530913E-04 	 -3.13478629E-04 	+9.90042759E-06 	 -6.23691896E-06 	+1.08390177E+00 	 42.116736 
+3.17224187E-04 	 -3.13208703E-04 	+9.95222225E-06 	 -6.35356732E-06 	+1.08352020E+00 	 42.337716 
+3.16982141E-04 	 -3.12993608E-04 	+9.94749250E-06 	 -6.35255710E-06 	+1.08313960E+00 	 42.558209 
+3.16749797E-04 	 -3.12749703E-04 	+9.94798994E-06 	 -6.31142986E-06 	+1.08276171E+00 	 42.777192 
+3.16462649E-04 	 -3.12513437E-04 	+9.90424975E-06 	 -6.28961019E-06 	+1.08238582E+00 	 42.995061 
+3.16243045E-04 	 -3.12256734E-04 	+9.92595811E-06 	 -6.25018639E-06 	+1.08201050E+00 	 43.212632 
+3.15943445E-04 	 -3.12052657E-04 	+9.95874927E-06 	 -6.34139512E-06 	+1.08163733E+00 	 43.428976 
+3.15703630E-04 	 -3.11885038E-04 	+9.90888089E-06 	 -6.28428392E-06 	+1.08126625E+00 	 43.644116 
+3.15461670E-04 	 -3.11681093E-04 	+9.90876961E-06 	 -6.34139296E-06 	+1.08089571E+00 	 43.858939 
+3.15315596E-04 	 -3.11392836E-04 	+1.00300366E-05 	 -6.33063370E-06 	+1.08052798E+00 	 44.072120 
+3.15084340E-04 	 -3.11164492E-04 	+1.00445273E-05 	 -6.34371043E-06 	+1.08016014E+00 	 44.285340 
+3.14810762E-04 	 -3.10963517E-04 	+9.94919883E-06 	 -6.32118491E-06 	+1.07979451E+00 	 44.497247 
+3.14610384E-04 	 -3.10687121E-04 	+1.00200903E-05 	 -6.27362265E-06 	+1.07943033E+00 	 44.708273 
+3.14447617E-04 	 -3.10479000E-04 	+1.02365939E-05 	 -6.46025697E-06 	+1.07906777E+00 	 44.918311 
+3.14210748E-04 	 -3.10223231E-04 	+1.02734886E-05 	 -6.45150371E-06 	+1.07870535E+00 	 45.128212 
+3.14015642E-04 	 -3.10021389E-04 	+1.01223535E-05 	 -6.17276565E-06 	+1.07834486E+00 	 45.336932 
