Resistance [\fW]	Temperature [K]
1.17077e-05	1.88523e-38
1.15659e-05	1.88523e-38
1.15192e-05	1.88523e-38
1.16595e-05	1.88523e-38
1.16457e-05	1.88523e-38
1.17231e-05	1.88523e-38
1.16721e-05	1.88523e-38
1.16117e-05	1.88523e-38
1.15858e-05	1.88523e-38
1.14961e-05	1.88523e-38
1.14903e-05	1.88523e-38
1.15928e-05	1.88523e-38
1.15345e-05	1.88523e-38
1.1425e-05	1.88523e-38
1.15686e-05	1.88523e-38
1.14825e-05	1.88523e-38
1.15699e-05	1.88523e-38
1.15822e-05	1.88523e-38
1.16076e-05	1.88523e-38
1.16963e-05	1.88523e-38
1.15535e-05	1.88523e-38
1.14231e-05	1.88523e-38
1.14561e-05	1.88523e-38
1.13458e-05	1.88523e-38
1.12935e-05	1.88523e-38
1.12044e-05	1.88523e-38
1.11841e-05	1.88523e-38
1.09777e-05	1.88523e-38
1.09829e-05	1.88523e-38
1.10068e-05	1.88523e-38
1.10272e-05	1.88523e-38
1.10628e-05	1.88523e-38
1.12996e-05	1.88523e-38
1.14916e-05	1.88523e-38
1.15546e-05	1.88523e-38
1.16522e-05	1.88523e-38
1.1559e-05	1.88523e-38
1.16377e-05	1.88523e-38
1.19548e-05	1.88523e-38
1.20398e-05	1.88523e-38
1.21125e-05	1.88523e-38
1.22673e-05	1.88523e-38
1.21375e-05	1.88523e-38
1.22309e-05	1.88523e-38
1.22111e-05	1.88523e-38
1.23464e-05	1.88523e-38
1.22288e-05	1.88523e-38
1.22386e-05	1.88523e-38
1.20273e-05	1.88523e-38
1.21933e-05	1.88523e-38
1.21368e-05	1.88523e-38
1.20364e-05	1.88523e-38
1.20519e-05	1.88523e-38
1.20874e-05	1.88523e-38
1.22857e-05	1.88523e-38
1.21411e-05	1.88523e-38
1.22048e-05	1.88523e-38
1.2143e-05	1.88523e-38
1.21854e-05	1.88523e-38
1.22156e-05	1.88523e-38
1.21692e-05	1.88523e-38
1.22121e-05	1.88523e-38
1.21408e-05	1.88523e-38
1.22184e-05	1.88523e-38
1.23536e-05	1.88523e-38
1.22956e-05	1.88523e-38
1.22346e-05	1.88523e-38
1.21233e-05	1.88523e-38
1.20736e-05	1.88523e-38
1.21519e-05	1.88523e-38
1.2127e-05	1.88523e-38
1.21227e-05	1.88523e-38
1.22152e-05	1.88523e-38
1.20953e-05	1.88523e-38
1.19753e-05	1.88523e-38
1.21347e-05	1.88523e-38
1.20528e-05	1.88523e-38
1.22573e-05	1.88523e-38
1.24887e-05	1.88523e-38
1.24523e-05	1.88523e-38
1.23801e-05	1.88523e-38
1.25323e-05	1.88523e-38
1.26971e-05	1.88523e-38
1.2907e-05	1.88523e-38
1.27138e-05	1.88523e-38
1.28803e-05	1.88523e-38
1.27297e-05	1.88523e-38
1.29878e-05	1.88523e-38
1.30727e-05	1.88523e-38
1.29487e-05	1.88523e-38
1.3188e-05	1.88523e-38
1.3276e-05	1.88523e-38
1.3331e-05	1.88523e-38
1.3342e-05	1.88523e-38
1.34385e-05	1.88523e-38
1.34824e-05	1.88523e-38
1.36582e-05	1.88523e-38
1.36299e-05	1.88523e-38
1.39254e-05	1.88523e-38
1.37133e-05	1.88523e-38
1.37314e-05	1.88523e-38
1.35923e-05	1.88523e-38
1.36474e-05	1.88523e-38
1.37567e-05	1.88523e-38
1.38203e-05	1.88523e-38
1.37915e-05	1.88523e-38
1.37934e-05	1.88523e-38
1.37414e-05	1.88523e-38
1.357e-05	1.88523e-38
1.34701e-05	1.88523e-38
1.36338e-05	1.88523e-38
1.34373e-05	1.88523e-38
1.32489e-05	1.88523e-38
1.32637e-05	1.88523e-38
1.30161e-05	1.88523e-38
1.30602e-05	1.88523e-38
1.30982e-05	1.88523e-38
1.31628e-05	1.88523e-38
1.32589e-05	1.88523e-38
1.30315e-05	1.88523e-38
1.30352e-05	1.88523e-38
1.29632e-05	1.88523e-38
1.27926e-05	1.88523e-38
1.28199e-05	1.88523e-38
1.27765e-05	1.88523e-38
1.2808e-05	1.88523e-38
1.27111e-05	1.88523e-38
1.26698e-05	1.88523e-38
1.24275e-05	1.88523e-38
1.24879e-05	1.88523e-38
1.24796e-05	1.88523e-38
1.23856e-05	1.88523e-38
1.23262e-05	1.88523e-38
1.23634e-05	1.88523e-38
1.2388e-05	1.88523e-38
1.22456e-05	1.88523e-38
1.2185e-05	1.88523e-38
1.21722e-05	1.88523e-38
1.21334e-05	1.88523e-38
1.22063e-05	1.88523e-38
1.23226e-05	1.88523e-38
1.21564e-05	1.88523e-38
1.19827e-05	1.88523e-38
1.18878e-05	1.88523e-38
1.18371e-05	1.88523e-38
1.18383e-05	1.88523e-38
1.18993e-05	1.88523e-38
1.17368e-05	1.88523e-38
1.17573e-05	1.88523e-38
1.18168e-05	1.88523e-38
1.18289e-05	1.88523e-38
1.14131e-05	1.88523e-38
1.14557e-05	1.88523e-38
1.14391e-05	1.88523e-38
1.16111e-05	1.88523e-38
1.15315e-05	1.88523e-38
1.14455e-05	1.88523e-38
1.15558e-05	1.88523e-38
1.15009e-05	1.88523e-38
1.14085e-05	1.88523e-38
1.13188e-05	1.88523e-38
1.13181e-05	1.88523e-38
1.12935e-05	1.88523e-38
1.13192e-05	1.88523e-38
1.122e-05	1.88523e-38
1.1267e-05	1.88523e-38
1.13264e-05	1.88523e-38
1.14243e-05	1.88523e-38
1.15139e-05	1.88523e-38
1.13725e-05	1.88523e-38
1.15682e-05	1.88523e-38
1.1525e-05	1.88523e-38
1.15957e-05	1.88523e-38
1.1802e-05	1.88523e-38
1.1757e-05	1.88523e-38
1.17405e-05	1.88523e-38
1.19019e-05	1.88523e-38
1.20627e-05	1.88523e-38
1.19829e-05	1.88523e-38
1.22485e-05	1.88523e-38
1.24408e-05	1.88523e-38
1.24e-05	1.88523e-38
1.23688e-05	1.88523e-38
1.24188e-05	1.88523e-38
1.24887e-05	1.88523e-38
1.25012e-05	1.88523e-38
1.2435e-05	1.88523e-38
1.24434e-05	1.88523e-38
1.25066e-05	1.88523e-38
1.25767e-05	1.88523e-38
1.25681e-05	1.88523e-38
1.25846e-05	1.88523e-38
1.26562e-05	1.88523e-38
1.27236e-05	1.88523e-38
1.27284e-05	1.88523e-38
1.26281e-05	1.88523e-38
1.26993e-05	1.88523e-38
1.27514e-05	1.88523e-38
1.27386e-05	1.88523e-38
1.26826e-05	1.88523e-38
1.26883e-05	1.88523e-38
1.27225e-05	1.88523e-38
1.27634e-05	1.88523e-38
1.27729e-05	1.88523e-38
1.26898e-05	1.88523e-38
1.27168e-05	1.88523e-38
1.26603e-05	1.88523e-38
1.26591e-05	1.88523e-38
1.25113e-05	1.88523e-38
1.26005e-05	1.88523e-38
1.25186e-05	1.88523e-38
1.23967e-05	1.88523e-38
1.25474e-05	1.88523e-38
1.24524e-05	1.88523e-38
1.2383e-05	1.88523e-38
1.24604e-05	1.88523e-38
1.23716e-05	1.88523e-38
1.22945e-05	1.88523e-38
1.23298e-05	1.88523e-38
1.2285e-05	1.88523e-38
1.2241e-05	1.88523e-38
1.22057e-05	1.88523e-38
1.21576e-05	1.88523e-38
1.21477e-05	1.88523e-38
1.2166e-05	1.88523e-38
1.21408e-05	1.88523e-38
1.21828e-05	1.88523e-38
1.21728e-05	1.88523e-38
1.22257e-05	1.88523e-38
1.22336e-05	1.88523e-38
1.22832e-05	1.88523e-38
1.23527e-05	1.88523e-38
1.23136e-05	1.88523e-38
